省份,城市,城市url,新房url,二手房url
广东,阳江,http://yangjiang.fang.com/,http://yangjiang.newhouse.fang.com//house/s,http://yangjiang.esf.fang.com/
广东,茂名,http://maoming.fang.com/,http://maoming.newhouse.fang.com//house/s,http://maoming.esf.fang.com/
广东,湛江,http://zj.fang.com/,http://zj.newhouse.fang.com//house/s,http://zj.esf.fang.com/
广东,梅州,http://meizhou.fang.com/,http://meizhou.newhouse.fang.com//house/s,http://meizhou.esf.fang.com/
广东,揭阳,http://jieyang.fang.com/,http://jieyang.newhouse.fang.com//house/s,http://jieyang.esf.fang.com/
广东,河源,http://heyuan.fang.com/,http://heyuan.newhouse.fang.com//house/s,http://heyuan.esf.fang.com/
广东,汕尾,http://shanwei.fang.com/,http://shanwei.newhouse.fang.com//house/s,http://shanwei.esf.fang.com/
广东,阳春,http://yangchun.fang.com/,http://yangchun.newhouse.fang.com//house/s,http://yangchun.esf.fang.com/
广东,开平,http://kaiping.fang.com/,http://kaiping.newhouse.fang.com//house/s,http://kaiping.esf.fang.com/
广东,云浮,http://yunfu.fang.com/,http://yunfu.newhouse.fang.com//house/s,http://yunfu.esf.fang.com/
广东,潮州,http://chaozhou.fang.com/,http://chaozhou.newhouse.fang.com//house/s,http://chaozhou.esf.fang.com/
广东,韶关,http://shaoguan.fang.com/,http://shaoguan.newhouse.fang.com//house/s,http://shaoguan.esf.fang.com/
广东,顺德,http://shunde.fang.com/,http://shunde.newhouse.fang.com//house/s,http://shunde.esf.fang.com/
广东,台山,http://taishan.fang.com/,http://taishan.newhouse.fang.com//house/s,http://taishan.esf.fang.com/
广东,恩平,http://enping.fang.com/,http://enping.newhouse.fang.com//house/s,http://enping.esf.fang.com/
广东,惠东,http://huidong.fang.com/,http://huidong.newhouse.fang.com//house/s,http://huidong.esf.fang.com/
广东,龙门,http://gdlm.fang.com/,http://gdlm.newhouse.fang.com//house/s,http://gdlm.esf.fang.com/
广东,博罗,http://boluo.fang.com/,http://boluo.newhouse.fang.com//house/s,http://boluo.esf.fang.com/
广东,鹤山,http://heshan.fang.com/,http://heshan.newhouse.fang.com//house/s,http://heshan.esf.fang.com/
广东,普宁,http://puning.fang.com/,http://puning.newhouse.fang.com//house/s,http://puning.esf.fang.com/
广东,新丰,http://xf.fang.com/,http://xf.newhouse.fang.com//house/s,http://xf.esf.fang.com/
